global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
168,12.657653,442.783813,18.470396,519.472412
169,11.916840,433.709259,17.267706,485.823639
170,12.631218,446.308350,17.853859,518.648804
171,11.498811,405.281738,18.268496,536.375122
172,11.704903,418.246460,17.697699,509.403595
173,11.760119,440.917236,17.904997,502.453339
174,12.282407,443.717651,15.879356,447.365082
175,12.606959,432.988770,15.034306,417.657867
176,11.873970,409.053986,14.417049,415.990753
177,12.295880,421.753387,14.683825,433.985962
178,12.018615,458.410492,14.852859,411.048676
179,12.978086,551.441711,15.082749,424.571899
180,12.985942,553.023743,16.115583,483.886139
181,11.786767,454.021210,15.879509,458.401764
182,11.385727,448.402100,15.743249,475.342194
183,12.099926,484.254761,16.287073,465.977631
184,12.622447,525.172974,15.992970,449.888519
185,12.640521,519.995056,15.757690,438.244629
186,12.357033,509.628174,15.220965,414.018280
187,13.112862,563.460022,15.737910,427.736237
188,12.894849,548.319153,16.758841,447.718964
189,12.625275,490.863495,16.568716,454.208984
190,12.168386,475.286957,16.821516,477.923340
191,12.678136,525.548828,17.124214,499.416748
192,12.589412,490.316071,17.534901,511.590912
193,12.316104,487.546875,17.965382,519.492188
194,12.068909,485.531097,18.950127,559.415344
195,12.042478,456.534546,19.007639,597.679749
196,11.601376,418.134552,18.296755,567.321960
197,11.850705,430.390778,18.371140,552.829651
198,11.022011,393.209198,17.314404,510.960907
199,11.913606,412.720093,16.017714,471.184448
200,11.220043,392.884308,13.357532,410.299194
201,15.050145,699.118469,12.882245,394.724213
202,12.538035,549.202332,13.571374,416.620453
203,10.820335,423.613617,14.384243,454.308563
204,11.400973,469.087891,16.144232,507.140106
205,12.461413,532.698792,17.366453,560.947876
206,12.941940,532.275146,17.990149,593.535095
207,13.301629,578.829590,19.697632,670.202515
208,13.081067,554.315186,19.628481,644.351562
209,13.359505,553.873169,18.568716,574.810852
210,14.294671,633.131592,17.288202,541.431641
211,13.645310,597.182495,16.965429,515.557556
212,12.850842,546.396057,17.762897,516.353455
213,13.231654,563.890930,18.470285,549.426819
214,13.302029,580.883179,18.148390,547.738647
215,13.487798,602.534851,18.180811,563.845581
216,13.068402,566.860229,18.484961,566.659912
217,12.835237,530.982483,18.250000,555.555237
218,12.287311,504.632050,17.534418,544.958374
219,12.181160,511.341156,17.715918,542.034363
220,12.864655,561.082825,17.474592,539.656067
221,14.230079,650.413269,16.859062,521.422668
222,13.822014,635.376465,15.872657,501.019135
223,14.196967,632.207336,15.513127,489.004608
224,12.217757,492.545135,15.102496,476.911163
225,11.154957,401.118988,15.703178,502.059174
226,12.281892,459.856934,15.447697,467.349365
227,12.969937,529.075867,14.980762,424.287140
228,13.493802,581.484558,14.747577,400.053070
229,13.625588,607.794006,14.880246,408.622833
230,13.940047,615.672302,14.973770,422.191986
231,14.114391,639.555969,15.538341,419.978790
232,13.690074,625.707031,15.963099,425.524170
233,13.508132,615.758362,15.642774,417.403412
234,13.852944,625.933411,15.480907,423.838348
235,13.802986,642.460999,15.814532,420.575592
236,13.605556,629.471497,15.263057,407.065033
237,12.913541,565.788574,15.080098,418.256012
238,13.316185,568.645508,15.014191,420.055298
239,13.659877,607.646179,15.878919,454.681122
240,13.747836,580.121033,16.012209,435.122955
241,13.958374,586.828796,15.651550,430.720245
242,13.409345,585.670959,16.237188,436.698883
243,12.935327,535.708496,17.319330,462.074249
244,12.510895,520.058594,16.824650,447.878540
245,13.177109,573.159363,16.901417,443.953979
246,12.565326,545.583191,15.052964,405.491089
247,12.555547,539.331543,14.081655,396.348969
248,13.465404,596.361572,13.527837,394.490723
249,16.786703,853.544189,13.334834,418.299835
250,15.364743,706.138428,13.658404,427.139191
251,15.746483,725.023132,13.853539,417.824860
252,14.638524,671.882935,14.682365,450.951508
253,14.717999,667.889587,16.047562,483.704346
254,14.593430,630.730042,17.967182,580.700500
255,15.122498,702.607483,16.136314,484.818207
256,13.920535,582.928406,16.903671,482.582886
257,14.143205,609.044128,16.590733,476.803101
