global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
3095,5.107533,80.407379,17.080687,340.133026
3096,5.362352,85.472923,18.225100,386.845856
3097,5.000453,78.017891,16.396280,302.450287
3098,5.316687,84.859398,15.303599,260.710449
3099,5.536390,89.871803,15.007909,254.284973
3100,5.301045,85.765022,15.206843,260.113434
3101,5.292490,88.132233,15.778041,285.507202
3102,5.527048,92.422646,16.692965,324.288452
3103,5.346243,87.210327,16.881277,338.899719
3104,5.623997,97.253853,17.055311,342.393066
3105,5.910709,100.995583,17.043154,336.540527
3106,5.066099,73.169014,17.047611,338.281647
3107,4.380087,63.273357,17.253977,354.613434
3108,4.615276,68.770805,17.117699,345.404388
3109,4.465456,67.239128,18.077475,384.623627
3110,4.641376,68.199280,18.957905,427.260101
3111,4.513391,67.039421,19.156374,439.686127
3112,4.559217,73.957863,18.913244,440.006012
3113,4.834692,76.199364,18.102304,389.541107
3114,4.822357,77.134071,17.890490,367.863434
3115,5.213262,82.157715,17.297548,345.375214
3116,5.567738,88.460167,16.578993,321.208221
3117,5.620380,92.333900,16.665667,315.561615
3118,5.349163,86.442902,15.804296,282.025146
3119,5.276529,84.717522,15.816709,285.266022
3120,5.249662,82.292686,16.608625,314.605835
3121,4.948226,78.165176,15.743332,274.309235
3122,5.134094,77.468864,15.227841,257.478302
3123,5.304358,82.708794,15.516144,270.040253
3124,5.594487,92.949089,15.721649,278.903748
3125,5.782955,100.256447,16.223917,304.732635
3126,5.566496,98.556877,16.754400,329.207306
3127,5.327523,90.180664,16.950611,333.665619
3128,5.045383,79.404785,16.652975,321.494965
3129,5.524724,87.240051,16.474907,311.515472
3130,5.272104,80.796959,16.757128,328.371948
3131,4.795149,73.025352,17.415955,369.510498
3132,4.687300,74.178459,17.696615,380.355865
3133,4.731081,75.992943,18.910475,432.249664
3134,5.180828,84.134087,20.124039,487.918976
3135,4.797230,74.986206,20.373610,512.708740
3136,4.724983,74.616722,20.102133,511.411835
3137,4.745306,71.822723,18.622475,415.689789
3138,4.827106,75.713936,17.429543,344.027924
3139,5.475907,85.911812,16.562872,318.749939
3140,5.341694,85.382362,16.027784,299.432587
3141,5.315805,87.996849,16.211821,300.259918
3142,5.408598,89.500824,16.093155,290.084595
3143,5.293410,84.340462,15.907527,290.406219
3144,5.257993,80.418358,16.520384,313.653046
3145,5.292126,81.657005,15.335736,259.884979
3146,5.158051,81.421074,14.790380,242.742874
3147,5.176232,82.430687,14.803342,244.651321
3148,5.203416,87.183990,14.902480,248.801468
3149,5.468287,90.404579,15.499230,272.193359
3150,5.444602,88.723396,16.729195,320.274323
3151,5.432657,90.502251,16.945547,341.957520
3152,5.263453,88.601845,17.103483,345.331940
3153,5.892776,96.682213,17.092325,334.031433
3154,5.763763,89.895149,16.746208,329.134430
3155,5.855982,103.958107,17.167946,344.656891
3156,5.870191,120.163231,17.863768,368.280151
3157,6.034618,125.327332,19.104593,430.297241
